module                                              classDoc        propDoc           uxStrings[de] 
gws.plugin.geojson.finder                            50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.geojson.layer                             50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.geojson.model                            100.0% (2/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.geojson.provider                         100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.plugin.legend                                      -            100.0% (4/4)         -          
gws.plugin.legend.combined                           50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.legend.html                               50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.legend.remote                             50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.legend.static                             50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.mbtiles_layer                               -            100.0% (1/1)         -          
gws.plugin.mbtiles_layer.layer                       50.0% (1/2)    100.0% (3/3)       50.0% (1/2)  
gws.plugin.mbtiles_layer.provider                   100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.plugin.model_field                                 -            100.0% (26/26)       -          
gws.plugin.model_field.bool                          33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_field.date                          33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_field.datetime                      33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_field.file                          33.3% (1/3)    100.0% (3/3)       33.3% (1/3)  
gws.plugin.model_field.float                         66.7% (2/3)       -               33.3% (1/3)  
gws.plugin.model_field.geometry                      33.3% (1/3)     66.7% (2/3)       33.3% (1/3)  
gws.plugin.model_field.integer                       33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_field.related_feature               33.3% (1/3)    100.0% (3/3)       33.3% (1/3)  
gws.plugin.model_field.related_feature_list          33.3% (1/3)    100.0% (3/3)       33.3% (1/3)  
gws.plugin.model_field.related_linked_feature_list   33.3% (1/3)    100.0% (6/6)       33.3% (1/3)  
gws.plugin.model_field.related_multi_feature_list    50.0% (2/4)    100.0% (4/4)       50.0% (2/4)  
gws.plugin.model_field.text                          33.3% (1/3)    100.0% (1/1)       33.3% (1/3)  
gws.plugin.model_field.time                          33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_validator                             -            100.0% (5/5)         -          
gws.plugin.model_validator.date_range                50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.model_validator.format                    50.0% (1/2)       -               50.0% (1/2)  
gws.plugin.model_validator.not_empty                 50.0% (1/2)       -               50.0% (1/2)  
gws.plugin.model_validator.number_range              50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.model_validator.regex                     50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.model_value                                 -            100.0% (5/5)         -          
gws.plugin.model_value.current_timestamp             50.0% (1/2)       -               50.0% (1/2)  
gws.plugin.model_value.current_user                  50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.model_value.expression                    50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.model_value.format                        50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.model_value.static                        50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.model_widget                                -            100.0% (30/30)       -          
gws.plugin.model_widget.date                         33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_widget.feature_list                 33.3% (1/3)     50.0% (5/10)      33.3% (1/3)  
gws.plugin.model_widget.feature_select               33.3% (1/3)     50.0% (1/2)       33.3% (1/3)  
gws.plugin.model_widget.feature_suggest              33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_widget.file                         33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_widget.file_list                    33.3% (1/3)     14.3% (1/7)       33.3% (1/3)  
gws.plugin.model_widget.float                        33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.model_widget.geometry                     33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.model_widget.hidden                       33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.model_widget.input                        33.3% (1/3)     50.0% (1/2)       33.3% (1/3)  
gws.plugin.model_widget.integer                      33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.model_widget.password                     33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.model_widget.select                       60.0% (3/5)     83.3% (10/12)     60.0% (3/5)  
gws.plugin.model_widget.textarea                     33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.model_widget.toggle                       33.3% (1/3)     50.0% (1/2)       33.3% (1/3)  
gws.plugin.nominatim                                   -            100.0% (2/2)         -          
gws.plugin.nominatim.finder                          50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.nominatim.model                          100.0% (2/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.ows_client                                  -            100.0% (9/9)         -          
gws.plugin.ows_client.wfs.finder                     50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_client.wfs.flatlayer                  50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_client.wfs.layer                      50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.ows_client.wfs.model                      50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_client.wfs.provider                  100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.plugin.ows_client.wms.finder                     50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_client.wms.flatlayer                  50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_client.wms.layer                      50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.ows_client.wms.model                      50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_client.wms.provider                  100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.plugin.ows_client.wmts.layer                     50.0% (1/2)    100.0% (4/4)      100.0% (2/2)  
gws.plugin.ows_client.wmts.provider                 100.0% (1/1)    100.0% (1/1)      100.0% (1/1)  
gws.plugin.ows_server                                  -            100.0% (4/4)         -          
gws.plugin.ows_server.csw                            50.0% (1/2)    100.0% (1/1)      100.0% (2/2)  
gws.plugin.ows_server.wfs                            50.0% (1/2)       -              100.0% (2/2)  
gws.plugin.ows_server.wms                            50.0% (1/2)    100.0% (2/2)      100.0% (2/2)  
gws.plugin.ows_server.wmts                           50.0% (1/2)       -              100.0% (2/2)  
gws.plugin.postgres                                    -            100.0% (6/6)         -          
gws.plugin.postgres.auth_provider                    50.0% (1/2)       -               50.0% (1/2)  
gws.plugin.postgres.finder                           50.0% (1/2)    100.0% (3/3)       50.0% (1/2)  
gws.plugin.postgres.layer                            50.0% (1/2)       -               50.0% (1/2)  
gws.plugin.postgres.model                            33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.postgres.provider                         50.0% (1/2)    100.0% (7/7)       50.0% (1/2)  
gws.plugin.qfieldcloud                                 -            100.0% (2/2)         -          
gws.plugin.qfieldcloud.action                        66.7% (2/3)    100.0% (1/1)       33.3% (1/3)  
gws.plugin.qfieldcloud.cli                            0.0% (0/2)      0.0% (0/4)       50.0% (1/2)  
gws.plugin.qfieldcloud.core                           0.0% (0/1)    100.0% (4/4)      100.0% (1/1)  
gws.plugin.qgis                                        -            100.0% (6/6)         -          
gws.plugin.qgis.cli                                  66.7% (2/3)    100.0% (4/4)        0.0% (0/3)  
gws.plugin.qgis.finder                               50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.qgis.flatlayer                            50.0% (1/2)    100.0% (3/3)       50.0% (1/2)  
gws.plugin.qgis.layer                                50.0% (1/2)    100.0% (3/3)       50.0% (1/2)  
gws.plugin.qgis.legend                               50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.qgis.model                                50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.qgis.provider                            100.0% (1/1)    100.0% (12/12)    100.0% (1/1)  
gws.plugin.qgis.template                             50.0% (1/2)    100.0% (4/4)       50.0% (1/2)  
gws.plugin.raster_layer                                -            100.0% (1/1)         -          
gws.plugin.raster_layer.layer                        50.0% (1/2)    100.0% (5/5)       50.0% (1/2)  
gws.plugin.raster_layer.provider                    100.0% (1/1)    100.0% (3/3)      100.0% (1/1)  
gws.plugin.select_tool                                 -            100.0% (2/2)         -          
gws.plugin.select_tool.action                        33.3% (1/3)     50.0% (2/4)       33.3% (1/3)  
gws.plugin.storage_provider                            -            100.0% (1/1)         -          
gws.plugin.storage_provider.sqlite                   50.0% (1/2)    100.0% (1/1)       50.0% (1/2)  
gws.plugin.template                                    -            100.0% (8/8)         -          
gws.plugin.template.html                             33.3% (1/3)    100.0% (2/2)       33.3% (1/3)  
gws.plugin.template.map                              33.3% (1/3)       -               33.3% (1/3)  
gws.plugin.template.py                               33.3% (1/3)    100.0% (1/1)       33.3% (1/3)  
gws.plugin.template.text                             33.3% (1/3)    100.0% (2/2)       33.3% (1/3)  
gws.plugin.tile_layer                                  -            100.0% (1/1)         -          
gws.plugin.tile_layer.layer                          50.0% (1/2)    100.0% (2/2)       50.0% (1/2)  
gws.plugin.tile_layer.provider                      100.0% (1/1)    100.0% (3/3)      100.0% (1/1)  
gws.plugin.upload_helper                              0.0% (0/1)       -              100.0% (1/1)  
gws.plugin.xml_helper                                66.7% (2/3)    100.0% (7/7)      100.0% (3/3)  
gws.server.cli                                      100.0% (3/3)    100.0% (7/7)        0.0% (0/3)  
gws.server.core                                     100.0% (7/7)    100.0% (36/36)     14.3% (1/7)  
